   3.11414   3.63720   2.31246   3.39759   3.49916   2.81349   3.01303   3.20625   3.84366   2.08892   2.89426   2.43553   2.33924   3.00352   2.18212   2.85565
   3.84366   2.08892   2.89426   2.43553   2.33924   3.00352   2.18212   2.85565   3.95982   2.09394   2.93573   2.47304   2.37675   3.04498   2.18713   2.97181
   3.84366   2.08892   2.89426   2.43553   2.33924   3.00352   2.18212   2.85565   2.87104   2.75549   3.84264   2.63469   3.67276   2.96139   3.03148   3.07607
   3.54108   3.37062   3.87846   3.82400   3.48651   3.78220   3.00279   2.72694   3.63785   3.33716   3.88262   3.82401   3.48653   3.78635   2.96933   2.82371
   3.84366   2.08892   2.89426   2.43553   2.33924   3.00352   2.18212   2.85565   3.54108   3.37062   3.87846   3.82400   3.48651   3.78220   3.00279   2.72694
   2.87104   2.75549   3.84264   2.63469   3.67276   2.96139   3.03148   3.07607   2.94487   2.74669   3.84284   2.63438   3.67245   2.96158   3.02268   3.14990
   3.54108   3.37062   3.87846   3.82400   3.48651   3.78220   3.00279   2.72694   4.10302   2.78992   3.88376   3.50466   2.58450   3.91746   3.32146   3.66144
   4.10302   2.78992   3.88376   3.50466   2.58450   3.91746   3.32146   3.66144   4.19830   2.83278   3.94024   3.55994   2.63978   3.97394   3.36432   3.75672
   3.25223   3.86067   2.44217   3.55673   3.69100   2.91725   3.19564   3.35553   3.88298   2.09648   2.93064   2.46448   2.34662   3.04636   2.20193   2.87985
   3.88298   2.09648   2.93064   2.46448   2.34662   3.04636   2.20193   2.87985   3.96708   2.06355   2.93402   2.46391   2.34605   3.04974   2.16900   2.96394
   3.88298   2.09648   2.93064   2.46448   2.34662   3.04636   2.20193   2.87985   2.85844   2.74967   3.83118   2.62460   3.66768   2.94880   3.02285   3.06516
   3.54177   3.37108   3.87910   3.82459   3.48693   3.78285   3.00335   2.72756   3.63836   3.33745   3.88308   3.82442   3.48677   3.78683   2.96971   2.82415
   3.88298   2.09648   2.93064   2.46448   2.34662   3.04636   2.20193   2.87985   3.54177   3.37108   3.87910   3.82459   3.48693   3.78285   3.00335   2.72756
   2.85844   2.74967   3.83118   2.62460   3.66768   2.94880   3.02285   3.06516   2.93292   2.74125   3.83174   2.62466   3.66774   2.94937   3.01443   3.13963
   3.54177   3.37108   3.87910   3.82459   3.48693   3.78285   3.00335   2.72756   3.75181   2.68409   3.54710   3.23820   2.46162   3.53397   3.11358   3.40384
   3.75181   2.68409   3.54710   3.23820   2.46162   3.53397   3.11358   3.40384   3.76945   2.67564   3.54815   3.23813   2.46156   3.53501   3.10513   3.42148



      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan-1277321114849823.50000339273664565641001937990679399028584610129081884147036003781126066798592.00000-2632244556239685589264292453111841596141076754938828064799551057558379547580257621987275252768810651965396912089620748761747329426332303036377197588409745100802650886706077281037739169070781656592408569249296275117457452798347915517807820800.00000      -nan      -nan      -nan      -nan      -nan
-7332681267703243329228820177891940327508262297196056525304606923860601940299825809650207891149173121512432430189919866450197803221141739300896586559377808427199423363371621589005643337358412618618675493882310960478414625275595936123079098368.00000      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan-7332681267703243329228820177891940327508262297196056525304606923860601940299825809650207891149173121512432430189919866450197803221141739300896586559377808427199423363371621589005643337358412618618675493882310960478414625275595936123079098368.00000      -nan      -nan      -nan      -nan      -nan      -nan      -nan
-1277321114849823.50000339273664565641001937990679399028584610129081884147036003781126066798592.00000-2632244556239685589264292453111841596141076754938828064799551057558379547580257621987275252768810651965396912089620748761747329426332303036377197588409745100802650886706077281037739169070781656592408569249296275117457452798347915517807820800.00000      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
-7332681267703243329228820177891940327508262297196056525304606923860601940299825809650207891149173121512432430189919866450197803221141739300896586559377808427199423363371621589005643337358412618618675493882310960478414625275595936123079098368.00000      -nan      -nan      -nan      -nan      -nan      -nan      -nan   3.31400   2.86131-340618956427249.8125067854732450907502672764395758083099727732683993790648632446242909061120.00000-376034936246346738058647022406245817809167703917496607543414811854287631071662893043749353861695757111084661076777184984868892648811141603881803636157642396934441065822533595901201830393303044191185079233906821100627714221134490657626259456.00000      -nan      -nan      -nan
   3.31400   2.86131-340618956427249.8125067854732450907502672764395758083099727732683993790648632446242909061120.00000-376034936246346738058647022406245817809167703917496607543414811854287631071662893043749353861695757111084661076777184984868892648811141603881803636157642396934441065822533595901201830393303044191185079233906821100627714221134490657626259456.00000      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan



      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan      -nan
